keywords,maxPrice,showAuctions,graded
2018 prizm trae pink ice,150,TRUE,FALSE
2018 prizm trae fast break blue,250,TRUE,FALSE
2018 prizm luka red white blue bgs,300,TRUE,FALSE
2018 prizm luka red white blue psa,300,TRUE,FALSE
2018 prizm luka red ice,350,TRUE,FALSE
2019 prizm morant orange ice bgs,250,TRUE,FALSE
2019 prizm morant orange ice psa,250,TRUE,FALSE
2019 prizm morant orange ice,175,TRUE,FALSE
2019 prizm morant red white blue,50,TRUE,FALSE
2017 prizm tatum bgs,100,TRUE,FALSE
2017 prizm tatum psa,100,TRUE,FALSE
2017 prizm tatum,30,TRUE,FALSE
2017 prizm tatum fast break,100,TRUE,FALSE
2017 prizm tatum green,100,TRUE,FALSE
2018 topps update soto rainbow,300,TRUE,FALSE
2018 topps update soto psa 10,70,TRUE,FALSE
1989 upper deck griffey psa 9,75,TRUE,FALSE
1989 upper deck griffey psa 10,675,TRUE,FALSE
1989 upper deck griffey bgs 9.5,275,TRUE,FALSE
1987 griffey bellingham,40,TRUE,FALSE
1987 griffey bellingham bgs 9.5,200,TRUE,FALSE
1987 griffey bellingham psa 9,75,TRUE,FALSE
1987 griffey bellingham psa 10,250,TRUE,FALSE
2011 Topps update trout psa,800,TRUE,FALSE
2011 Topps update trout bgs,800,TRUE,FALSE
2011 bowman chrome trout bgs,250,TRUE,FALSE
2011 bowman chrome trout psa,250,TRUE,FALSE
1994 sp alex rodriguez psa 8,35,TRUE,FALSE
1994 sp alex rodriguez psa 9,200,TRUE,FALSE
1994 sp alex rodriguez bgs,90,TRUE,FALSE
2001 Topps Collection brees psa 10,300,TRUE,FALSE
2001 Topps Collection brees psa 9,100,TRUE,FALSE
2001 Topps Collection brees bgs 9.5,300,TRUE,FALSE
2017 prizm mahomes,350,TRUE,FALSE
2012 russell wilson psa,100,TRUE,FALSE
2012 russell wilson bgs,75,TRUE,FALSE
2012 russell wilson blue,200,TRUE,FALSE
2012 russell wilson camo,200,TRUE,FALSE
2012 russell wilson blue wave,200,TRUE,FALSE
2000 tom brady bowman chrome psa 8,475,TRUE,FALSE
2000 tom brady bowman chrome psa 9,650,TRUE,FALSE
2000 tom brady bowman chrome psa 10,1500,TRUE,FALSE
2000 tom brady bowman chrome bgs,1000,TRUE,FALSE
1998 topps chrome peyton manning psa 8,45,TRUE,FALSE
1998 topps chrome peyton manning psa 9,85,TRUE,FALSE
1998 topps chrome peyton manning psa 10,300,TRUE,FALSE
1998 topps chrome peyton manning bgs 9.5,175,TRUE,FALSE
1986 fleer jordan 57 psa 5,1500,TRUE,FALSE
1986 fleer jordan 57 psa 6,1700,TRUE,FALSE
1986 fleer jordan 57 psa 7,2000,TRUE,FALSE
1986 fleer jordan 57 psa 8,2600,TRUE,FALSE
1986 fleer jordan 57 psa 9,6000,TRUE,FALSE
1986 fleer jordan 57 bgs,2600,TRUE,FALSE
1986 fleer jordan sticker psa 5,200,TRUE,FALSE
1986 fleer jordan sticker psa 6,250,TRUE,FALSE
1986 fleer jordan sticker psa 7,360,TRUE,FALSE
1986 fleer jordan sticker psa 8,600,TRUE,FALSE
1986 fleer jordan sticker psa 9,1600,TRUE,FALSE
1986 fleer jordan sticker bgs,600,TRUE,FALSE
1984 jordan star 101 bgs,4000,TRUE,FALSE
2003 topps chrome lebron,750,TRUE,FALSE
2003 topps chrome lebron psa 8,650,TRUE,FALSE
2003 topps chrome lebron psa 9,1300,TRUE,FALSE
2003 topps chrome lebron psa 10,3000,TRUE,FALSE
2003 topps chrome lebron bgs,2500,TRUE,FALSE
2009 topps steph curry psa 9,225,TRUE,FALSE
2009 topps steph curry psa 10,600,TRUE,FALSE
2009 topps steph curry bgs,750,TRUE,FALSE
2009 topps stephen curry psa 9,225,TRUE,FALSE
2009 topps stephen curry psa 10,600,TRUE,FALSE
2009 topps stephen curry bgs,750,TRUE,FALSE
